vehicle_type,brand,model
motos,Ducati,Hypermotard 939
motos,Ducati,Hypermotard 939 SP
motos,Ducati,Hypermotard 950
motos,Ducati,Hypermotard 950 SP
motos,Ducati,Hypermotard 950 RVE
motos,Ducati,Hyperstrada 821
motos,Ducati,Hyperstrada 939
motos,Ducati,Monster 400
motos,Ducati,Monster 600
motos,Ducati,Monster 620
motos,Ducati,Monster 695
motos,Ducati,Monster 696
motos,Ducati,Monster 750
motos,Ducati,Monster 795
motos,Ducati,Monster 796
motos,Ducati,Monster 821
motos,Ducati,Monster 821 Stealth
motos,Ducati,Monster 900
motos,Ducati,Monster 900 S
motos,Ducati,Monster 900 Cromo
motos,Ducati,Monster 1000
motos,Ducati,Monster 1000 DS
motos,Ducati,Monster S4R
motos,Ducati,Monster S4RS
motos,Ducati,Monster 1100
motos,Ducati,Monster 1100 S
motos,Ducati,Monster 1100 Evo
motos,Ducati,Monster 1200
motos,Ducati,Monster 1200 S
motos,Ducati,Monster 1200 R
motos,Ducati,Monster 937
motos,Ducati,Monster SP 937
motos,Ducati,Multistrada 620
motos,Ducati,Multistrada 1000 DS
motos,Ducati,Multistrada 1100
motos,Ducati,Multistrada 1100 S
motos,Ducati,Multistrada 1200
motos,Ducati,Multistrada 1200 S
motos,Ducati,Multistrada 950
motos,Ducati,Multistrada 950 S
motos,Ducati,Multistrada 1260
motos,Ducati,Multistrada 1260 S
motos,Ducati,Multistrada 1260 Enduro
motos,Ducati,Multistrada 1260 Pikes Peak
motos,Ducati,Multistrada V2
motos,Ducati,Multistrada V2 S
motos,Ducati,Multistrada V4
motos,Ducati,Multistrada V4 S
motos,Ducati,Multistrada V4 RS
motos,Ducati,Multistrada V4 Pikes Peak
motos,Ducati,Panigale 899
motos,Ducati,Panigale 959
motos,Ducati,Panigale 959 Corse
motos,Ducati,Panigale 1199
motos,Ducati,Panigale 1199 S
motos,Ducati,Panigale 1199 R
motos,Ducati,Panigale 1299
motos,Ducati,Panigale 1299 S
motos,Ducati,Panigale 1299 R
motos,Ducati,Panigale V2
motos,Ducati,Panigale V2 Bayliss
motos,Ducati,Panigale V4
motos,Ducati,Panigale V4 S
motos,Ducati,Panigale V4 R
motos,Ducati,Panigale V4 SP
motos,Ducati,Panigale V4 SP2
motos,Ducati,Scrambler Icon
motos,Ducati,Scrambler Icon Dark
motos,Ducati,Scrambler Sixty2
motos,Ducati,Scrambler Flat Track Pro
motos,Ducati,Scrambler Cafe Racer
motos,Ducati,Scrambler Full Throttle
motos,Ducati,Scrambler Heritage
motos,Ducati,Scrambler Desert Sled
motos,Ducati,Scrambler Desert Sled Fasthouse
motos,Ducati,Scrambler Nightshift
motos,Ducati,Scrambler Urban Motard
motos,Ducati,Sport 1000
motos,Ducati,Sport 1000 S
motos,Ducati,Sport Classic GT 1000
motos,Ducati,Sport Classic Paul Smart 1000 LE
motos,Ducati,ST2
motos,Ducati,ST3
motos,Ducati,ST4
motos,Ducati,ST4S
motos,Ducati,Streetfighter 848
motos,Ducati,Streetfighter 848 S
motos,Ducati,Streetfighter V2
motos,Ducati,Streetfighter V4
motos,Ducati,Streetfighter V4 S
motos,Ducati,Streetfighter V4 SP
motos,Ducati,Streetfighter V4 Lamborghini
motos,Ducati,SuperSport
motos,Ducati,SuperSport S
motos,Ducati,XDiavel
motos,Ducati,XDiavel S
motos,Ducati,XDiavel Dark
motos,Harley-Davidson,Breakout 103
motos,Harley-Davidson,Breakout 114
motos,Harley-Davidson,Breakout 117
motos,Harley-Davidson,CVO Limited
motos,Harley-Davidson,CVO Road Glide
motos,Harley-Davidson,CVO Street Glide
motos,Harley-Davidson,CVO Tri Glide
motos,Harley-Davidson,Electra Glide Standard
motos,Harley-Davidson,Electra Glide Ultra Classic
motos,Harley-Davidson,Electra Glide Ultra Limited
motos,Harley-Davidson,Fat Bob 96
motos,Harley-Davidson,Fat Bob 107
motos,Harley-Davidson,Fat Bob 114
motos,Harley-Davidson,Fat Boy 88
motos,Harley-Davidson,Fat Boy Lo
motos,Harley-Davidson,Fat Boy 107
motos,Harley-Davidson,Fat Boy 114
motos,Harley-Davidson,Freewheeler
motos,Harley-Davidson,Heritage Softail Classic
motos,Harley-Davidson,Heritage Classic 114
motos,Harley-Davidson,Iron 883
motos,Harley-Davidson,Iron 1200
motos,Harley-Davidson,LiveWire
motos,Harley-Davidson,Low Rider
motos,Harley-Davidson,Low Rider S
motos,Harley-Davidson,Low Rider ST
motos,Harley-Davidson,Night Rod Special
motos,Harley-Davidson,Nightster
motos,Harley-Davidson,Nightster Special
motos,Harley-Davidson,Pan America 1250
motos,Harley-Davidson,Pan America 1250 Special
motos,Harley-Davidson,Road Glide
motos,Harley-Davidson,Road Glide Special
motos,Harley-Davidson,Road Glide Ultra
motos,Harley-Davidson,Road Glide ST
motos,Harley-Davidson,Road King
motos,Harley-Davidson,Road King Classic
motos,Harley-Davidson,Road King Special
motos,Harley-Davidson,Softail Deluxe
motos,Harley-Davidson,Softail Slim
motos,Harley-Davidson,Softail Standard
motos,Harley-Davidson,Sportster 883
motos,Harley-Davidson,Sportster 883 Hugger
motos,Harley-Davidson,Sportster 1200 Custom
motos,Harley-Davidson,Sportster 1200 Sport
motos,Harley-Davidson,Sportster S 1250
motos,Harley-Davidson,Street 500
motos,Harley-Davidson,Street 750
motos,Harley-Davidson,Street Glide
motos,Harley-Davidson,Street Glide Special
motos,Harley-Davidson,Street Glide ST
motos,Harley-Davidson,Street Rod
motos,Harley-Davidson,Super Glide
motos,Harley-Davidson,Super Glide Custom
motos,Harley-Davidson,Tri Glide Ultra
motos,Harley-Davidson,V-Rod
motos,Harley-Davidson,V-Rod Muscle
motos,Honda,Africa Twin 750 XRV750
motos,Honda,Africa Twin CRF1000L
motos,Honda,Africa Twin CRF1000L Adventure Sports
motos,Honda,Africa Twin CRF1100L
motos,Honda,Africa Twin CRF1100L Adventure Sports
motos,Honda,CB125R
motos,Honda,CB300R
motos,Honda,CB400 Super Four
motos,Honda,CB500F
motos,Honda,CB500X
motos,Honda,CB650F
motos,Honda,CB650R
motos,Honda,CB750 Hornet
motos,Honda,CB1000R
motos,Honda,CB1100
motos,Honda,CB1100 EX
motos,Honda,CB1100 RS
motos,Honda,CB1300
motos,Honda,CBR125R
motos,Honda,CBR250R
motos,Honda,CBR300R
motos,Honda,CBR400R
motos,Honda,CBR500R
motos,Honda,CBR600F
motos,Honda,CBR600RR
motos,Honda,CBR650F
motos,Honda,CBR650R
motos,Honda,CBR900RR Fireblade
motos,Honda,CBR954RR Fireblade
motos,Honda,CBR1000RR Fireblade
motos,Honda,CBR1000RR-R Fireblade
motos,Honda,CBR1000RR-R Fireblade SP
motos,Honda,CMX500 Rebel
motos,Honda,CMX1100 Rebel
motos,Honda,CRF125F
motos,Honda,CRF250L
motos,Honda,CRF250 Rally
motos,Honda,CRF300L
motos,Honda,CRF300 Rally
motos,Honda,CRF450L
motos,Honda,CRF450R
motos,Honda,CRF450X
motos,Honda,Crossrunner 800
motos,Honda,Crosstourer 1200
motos,Honda,DN-01
motos,Honda,Forza 125
motos,Honda,Forza 250
motos,Honda,Forza 300
motos,Honda,Forza 350
motos,Honda,Forza 750
motos,Honda,GL1800 Gold Wing
motos,Honda,GL1800 Gold Wing Tour
motos,Honda,Grom MSX125
motos,Honda,Integra 700
motos,Honda,Integra 750
motos,Honda,NC700S
motos,Honda,NC700X
motos,Honda,NC750S
motos,Honda,NC750X
motos,Honda,NT1100
motos,Honda,PCX125
motos,Honda,PCX150
motos,Honda,SH125
motos,Honda,SH150
motos,Honda,SH300
motos,Honda,SH350
motos,Honda,Transalp 600
motos,Honda,Transalp 650
motos,Honda,Transalp 750
motos,Honda,VFR800F
motos,Honda,VFR800X Crossrunner
motos,Honda,VFR1200F
motos,Honda,VFR1200X Crosstourer
motos,Honda,VTR1000F Fire Storm
motos,Honda,VTR1000 SP-1
motos,Honda,VTR1000 SP-2
motos,Honda,X-ADV 750
motos,Honda,XL125V Varadero
motos,Honda,XL1000V Varadero
motos,Husqvarna,FE 250
motos,Husqvarna,FE 350
motos,Husqvarna,FE 450
motos,Husqvarna,FE 501
motos,Husqvarna,FC 250
motos,Husqvarna,FC 350
motos,Husqvarna,FC 450
motos,Husqvarna,FR 450 Rally
motos,Husqvarna,FS 450
motos,Husqvarna,Norden 901
motos,Husqvarna,Norden 901 Expedition
motos,Husqvarna,SMR 449
motos,Husqvarna,SMR 510
motos,Husqvarna,Svartpilen 125
motos,Husqvarna,Svartpilen 250
motos,Husqvarna,Svartpilen 401
motos,Husqvarna,Svartpilen 701
motos,Husqvarna,Svartpilen 801
motos,Husqvarna,Svartpilen 801 SE
motos,Husqvarna,TC 85
motos,Husqvarna,TC 125
motos,Husqvarna,TC 250
motos,Husqvarna,TE 125
motos,Husqvarna,TE 150
motos,Husqvarna,TE 250
motos,Husqvarna,TE 300
motos,Husqvarna,TR 650 Terra
motos,Husqvarna,TR 650 Strada
motos,Husqvarna,TX 300
motos,Husqvarna,Vitpilen 401
motos,Husqvarna,Vitpilen 701
motos,Indian,Challenger
motos,Indian,Challenger Limited
motos,Indian,Challenger Dark Horse
motos,Indian,Chief
motos,Indian,Chief Dark Horse
motos,Indian,Chief Vintage
motos,Indian,Chief Bobber
motos,Indian,Chieftain
motos,Indian,Chieftain Dark Horse
motos,Indian,Chieftain Limited
motos,Indian,FTR 1200
motos,Indian,FTR 1200 S
motos,Indian,FTR 1200 Rally
motos,Indian,FTR 1200 Carbon
motos,Indian,FTR Sport
motos,Indian,FTR x RSD Super Hooligan
motos,Indian,Pursuit
motos,Indian,Pursuit Limited
motos,Indian,Pursuit Dark Horse
motos,Indian,Roadmaster
motos,Indian,Roadmaster Dark Horse
motos,Indian,Roadmaster Limited
motos,Indian,Scout
motos,Indian,Scout Bobber
motos,Indian,Scout Sixty
motos,Indian,Scout Rogue
motos,Indian,Scout Classic
motos,Indian,Scout Sport
motos,Indian,Spirit
motos,Indian,Spirit Roadster
motos,Indian,Chief Classic
motos,Indian,Springfield
motos,Indian,Springfield Dark Horse
motos,Indian,Super Chief
motos,Indian,Super Chief Limited
motos,Kawasaki,Eliminator 500
motos,Kawasaki,ER-5
motos,Kawasaki,ER-6n
motos,Kawasaki,ER-6f
motos,Kawasaki,H2
motos,Kawasaki,H2 R
motos,Kawasaki,H2 Carbon
motos,Kawasaki,H2 SX
motos,Kawasaki,H2 SX SE
motos,Kawasaki,KLR 650
motos,Kawasaki,KLX 125
motos,Kawasaki,KLX 150
motos,Kawasaki,KLX 230
motos,Kawasaki,KLX 300
motos,Kawasaki,KLZ 1000 Versys
motos,Kawasaki,KX 65
motos,Kawasaki,KX 85
motos,Kawasaki,KX 250F
motos,Kawasaki,KX 450F
motos,Kawasaki,Ninja 125
motos,Kawasaki,Ninja 250R
motos,Kawasaki,Ninja 300
motos,Kawasaki,Ninja 400
motos,Kawasaki,Ninja 500
motos,Kawasaki,Ninja 636 ZX-6R
motos,Kawasaki,Ninja 650
motos,Kawasaki,Ninja 1000 SX
motos,Kawasaki,Ninja ZX-4R
motos,Kawasaki,Ninja ZX-4RR
motos,Kawasaki,Ninja ZX-6R
motos,Kawasaki,Ninja ZX-7R
motos,Kawasaki,Ninja ZX-7RR
motos,Kawasaki,Ninja ZX-9R
motos,Kawasaki,Ninja ZX-10R
motos,Kawasaki,Ninja ZX-10RR
motos,Kawasaki,Ninja ZX-10R SE
motos,Kawasaki,Ninja ZX-12R
motos,Kawasaki,Ninja ZX-14R
motos,Kawasaki,Ninja ZX-25R
motos,Kawasaki,Ninja ZZR1400
motos,Kawasaki,Versys 300
motos,Kawasaki,Versys 650
motos,Kawasaki,Versys 1000
motos,Kawasaki,Vulcan S 650
motos,Kawasaki,Vulcan 900 Classic
motos,Kawasaki,Vulcan 900 Custom
motos,Kawasaki,Vulcan 900 LT
motos,Kawasaki,Vulcan 1500
motos,Kawasaki,Vulcan 1700 Voyager
motos,Kawasaki,Vulcan 1700 Vaquero
motos,Kawasaki,Vulcan 1700 Nomad
motos,Kawasaki,Vulcan 2000
motos,Kawasaki,Vulcan 2000 Classic
motos,Kawasaki,Vulcan 2000 LT
motos,Kawasaki,W650
motos,Kawasaki,W800
motos,Kawasaki,Z125 Pro
motos,Kawasaki,Z250
