vehicle_type,brand,model
coches,Maserati,228
coches,Maserati,3200 GT
coches,Maserati,4200 GT
coches,Maserati,Ghibli
coches,Maserati,GranCabrio
coches,Maserati,GranTurismo
coches,Maserati,Grecale
coches,Maserati,Levante
coches,Maserati,MC20
coches,Maserati,MC20 Cielo
coches,Maserati,Quattroporte
coches,Maserati,Spyder
coches,Maxus,D90
coches,Maxus,Euniq 5
coches,Maxus,Euniq 6
coches,Maxus,Euniq 7
coches,Maxus,G10
coches,Maxus,G50
coches,Maxus,MIFA 6
coches,Maxus,MIFA 9
coches,Maxus,T60
coches,Maxus,T90
coches,Maxus,V90
coches,Maybach,57
coches,Maybach,62
coches,Maybach,GLS 600
coches,Maybach,S 500
coches,Maybach,S 580
coches,Maybach,S 650
coches,Maybach,S 680
coches,Maybach,EQS 680 SUV
coches,Maybach,Zeppelin
coches,McLaren,540C
coches,McLaren,570GT
coches,McLaren,570S
coches,McLaren,570S Spider
coches,McLaren,600LT
coches,McLaren,600LT Spider
coches,McLaren,620R
coches,McLaren,650S
coches,McLaren,650S Spider
coches,McLaren,675LT
coches,McLaren,675LT Spider
coches,McLaren,720S
coches,McLaren,720S Spider
coches,McLaren,750S
coches,McLaren,750S Spider
coches,McLaren,Artura
coches,McLaren,Artura Spider
coches,McLaren,Elva
coches,McLaren,F1
coches,McLaren,GT
coches,McLaren,MP4-12C
coches,McLaren,P1
coches,McLaren,P1 GTR
coches,McLaren,Senna
coches,McLaren,Senna GTR
coches,McLaren,Speedtail
coches,Mercedes-Benz,A-Class
coches,Mercedes-Benz,A-Class Sedan
coches,Mercedes-Benz,AMG GT
coches,Mercedes-Benz,AMG GT 4-Door
coches,Mercedes-Benz,AMG GT Coupe
coches,Mercedes-Benz,AMG GT Roadster
coches,Mercedes-Benz,AMG GT S
coches,Mercedes-Benz,AMG GT R
coches,Mercedes-Benz,AMG GT 63
coches,Mercedes-Benz,AMG GT 63 S
coches,Mercedes-Benz,AMG GT 63 S E Performance
coches,Mercedes-Benz,AMG ONE
coches,Mercedes-Benz,AMG SL
coches,Mercedes-Benz,B-Class
coches,Mercedes-Benz,C-Class
coches,Mercedes-Benz,C-Class Coupe
coches,Mercedes-Benz,C-Class Cabrio
coches,Mercedes-Benz,C-Class Estate
coches,Mercedes-Benz,CLA
coches,Mercedes-Benz,CLA Shooting Brake
coches,Mercedes-Benz,CLK
coches,Mercedes-Benz,CLS
coches,Mercedes-Benz,CLS Shooting Brake
coches,Mercedes-Benz,E-Class
coches,Mercedes-Benz,E-Class Coupe
coches,Mercedes-Benz,E-Class Cabrio
coches,Mercedes-Benz,E-Class Estate
coches,Mercedes-Benz,E-Class All-Terrain
coches,Mercedes-Benz,EQA
coches,Mercedes-Benz,EQB
coches,Mercedes-Benz,EQC
coches,Mercedes-Benz,EQE
coches,Mercedes-Benz,EQE SUV
coches,Mercedes-Benz,EQS
coches,Mercedes-Benz,EQS SUV
coches,Mercedes-Benz,G-Class
coches,Mercedes-Benz,G 63 AMG
coches,Mercedes-Benz,GLA
coches,Mercedes-Benz,GLB
coches,Mercedes-Benz,GLC
coches,Mercedes-Benz,GLC Coupe
coches,Mercedes-Benz,GLE
coches,Mercedes-Benz,GLE Coupe
coches,Mercedes-Benz,GLK
coches,Mercedes-Benz,GLS
coches,Mercedes-Benz,M-Class
coches,Mercedes-Benz,ML
coches,Mercedes-Benz,R-Class
coches,Mercedes-Benz,S-Class
coches,Mercedes-Benz,S-Class Coupe
coches,Mercedes-Benz,S-Class Cabrio
coches,Mercedes-Benz,SL
coches,Mercedes-Benz,SLC
coches,Mercedes-Benz,SLK
coches,Mercedes-Benz,SLR McLaren
coches,Mercedes-Benz,SLS AMG
coches,Mercedes-Benz,SLS AMG Roadster
coches,Mercedes-Benz,Vaneo
coches,Mercedes-Benz,V-Class
coches,Mercedes-Benz,Vito
coches,Mercedes-Benz,X-Class
coches,MG Motor,3
coches,MG Motor,4
coches,MG Motor,5
coches,MG Motor,6
coches,MG Motor,Cyberster
coches,MG Motor,EHS
coches,MG Motor,HS
coches,MG Motor,Marvel R
coches,MG Motor,One
coches,MG Motor,RX5
coches,MG Motor,ZS
coches,MG Motor,ZS EV
coches,Mini,Aceman
coches,Mini,Clubman
coches,Mini,Convertible
coches,Mini,Coupe
coches,Mini,Countryman
coches,Mini,Paceman
coches,Mini,Roadster
coches,Mini,3 Door
