vehicle_type,brand,model
motos,Voge,SR1 ADV 125
motos,Voge,SR4 Max 350
motos,Voge,SR16 125
motos,Yadea,C1S
motos,Yadea,C1S Pro
motos,Yadea,E8S
motos,Yadea,E8S Pro
motos,Yadea,G5
motos,Yadea,G5S
motos,Yadea,T9
motos,Yadea,T9 Pro
motos,Yadea,VFLY
motos,Yadea,VFLY Pro
motos,Keeway,Ajax 150
motos,Keeway,Blackster 250
motos,Keeway,Blog 150
motos,Keeway,Brusco 125
motos,Keeway,Cafe Racer 152
motos,Keeway,Cafe Racer X 152
motos,Keeway,Cityblade 125
motos,Keeway,CK 110
motos,Keeway,Cruiser 250i
motos,Keeway,Fact 50
motos,Keeway,Fact X 125
motos,Keeway,Fact Evo 50
motos,Keeway,Horse 150
motos,Keeway,Hyperbrusco 175
motos,Keeway,K-Light 125
motos,Keeway,K-Light 202
motos,Keeway,K-Light 250V
motos,Keeway,K300 N
motos,Keeway,K300 R
motos,Keeway,K300 SF
motos,Keeway,Kee 125
motos,Keeway,Logik 125
motos,Keeway,Matrix 50
motos,Keeway,Matrix 110
motos,Keeway,RK 125 E
motos,Keeway,RK 150e X
motos,Keeway,RK 200
motos,Keeway,RKF 125
motos,Keeway,RKR 125
motos,Keeway,RKS 125
motos,Keeway,RKS 125 Sport
motos,Keeway,RKV 125
motos,Keeway,RR 300
motos,Keeway,RCS 125
motos,Keeway,RCX 125
motos,Keeway,Sixties 125
motos,Keeway,Sixties 300i
motos,Keeway,Sip 125
motos,Keeway,SR 125
motos,Keeway,SR 202
motos,Keeway,SR 250
motos,Keeway,Superlight 125
motos,Keeway,Superlight 125 Limited
motos,Keeway,TerraFina 350i
motos,Keeway,TX 125
motos,Keeway,TX 125 Adventure
motos,Keeway,TX 125 Supermoto
motos,Keeway,TX 150
motos,Keeway,TX 450R
motos,Keeway,TXM 125S
motos,Keeway,V302C
motos,Keeway,V-Cruise 300
motos,Keeway,Versilia 50
motos,Keeway,Versilia 125
motos,Keeway,Vieste 125
motos,Keeway,Vieste 175
motos,Keeway,Vieste 200 XDV
motos,Keeway,Vieste 300
motos,Keeway,Vieste 300 XDV
motos,Keeway,Zahara 125
