vehicle_type,brand,model
coches,BYD,Han DM
coches,BYD,Lark
coches,BYD,Seal
coches,BYD,Seal U
coches,BYD,Sea Lion 5
coches,BYD,Sea Lion 6
coches,BYD,Sea Lion 7
coches,BYD,Sea Lion 9
coches,BYD,Song
coches,BYD,Song Plus
coches,BYD,Song Pro
coches,BYD,Song L
coches,BYD,Sealion 6 DM-i
coches,BYD,Seagull
coches,BYD,Shark
coches,BYD,Tang EV
coches,BYD,Tang DM
coches,BYD,Qin Plus DM-i
coches,BYD,Qin L
coches,BYD,Yuan EV
coches,BYD,Yuan Plus
coches,BYD,Yuan Pro
coches,BYD,F0
coches,BYD,F3
coches,BYD,F6
coches,BYD,G6
coches,BYD,S6
coches,BYD,e2
coches,BYD,e5
coches,BYD,e6
coches,Cadillac,ATS
coches,Cadillac,ATS-V
coches,Cadillac,CT4
coches,Cadillac,CT4-V
coches,Cadillac,CT5
coches,Cadillac,CT5-V
coches,Cadillac,CTS
coches,Cadillac,CTS-V
coches,Cadillac,DeVille
coches,Cadillac,DTS
coches,Cadillac,Eldorado
coches,Cadillac,Escalade
coches,Cadillac,Escalade ESV
coches,Cadillac,Escalade IQ
coches,Cadillac,LYRIQ
coches,Cadillac,OPTIQ
coches,Cadillac,STS
coches,Cadillac,SRX
coches,Cadillac,XT4
coches,Cadillac,XT5
coches,Cadillac,XT6
coches,Cadillac,XTS
coches,Chery,Arrizo 3
coches,Chery,Arrizo 5
coches,Chery,Arrizo 6
coches,Chery,Arrizo 7
coches,Chery,Arrizo 8
coches,Chery,eQ
coches,Chery,eQ1
coches,Chery,eQ7
coches,Chery,Fengyun A9
coches,Chery,Fengyun T9
coches,Chery,Omoda 5
coches,Chery,Omoda E5
coches,Chery,Omoda C9
coches,Chery,QQ
coches,Chery,QQ Ice Cream
coches,Chery,Tiggo 2
coches,Chery,Tiggo 3
coches,Chery,Tiggo 4
coches,Chery,Tiggo 5
coches,Chery,Tiggo 7
coches,Chery,Tiggo 7 Pro
coches,Chery,Tiggo 8
coches,Chery,Tiggo 8 Pro
coches,Chery,Tiggo 9
